X,Y,rand_point,fid,DN,elev_1,slope_1,aspect_1,rough_1,tri_1
85.4554233468009,22.22846683449,101,34,1,418,22.4658126831055,277.405609130859,23.7080154418945,32.2024841308594
85.4557136887072,22.2278820771696,102,34,1,439,21.4544277191162,271.793518066406,24.2584991455078,32.0468406677246
85.4557819965644,22.2288899216202,103,34,1,427,11.495532989502,310.174163818359,15.8037986755371,20.4694900512695
85.455413052608,22.2274021087761,104,34,1,430,9.85836315155029,289.286834716797,15.9377965927124,16.0934772491455
85.4562956045012,22.2290475493711,105,34,1,430,15.7200527191162,334.570434570312,13.0737552642822,21.7485637664795
85.4487516481985,22.2275813004699,106,35,1,419,16.0257587432861,257.636779785156,10.2000713348389,20.688159942627
85.4047192312689,22.2286394365119,107,36,1,441,20.0596046447754,230.208160400391,9.54820442199707,28.5482044219971
85.4048835351362,22.2271413515922,108,36,1,428,18.9724617004395,241.508666992188,23.7737159729004,32.1403160095215
85.4045943903307,22.2277707533203,109,36,1,424,17.4834079742432,251.009552001953,17.1805572509766,23.4093990325928
85.4042450159786,22.2298372347872,110,36,1,434,15.956374168396,308.276580810547,,18.5741748809814
85.4036251713927,22.2294780425032,111,36,1,423,16.6312599182129,290.068206787109,13.7155437469482,21.2837963104248
85.404481614068,22.2268068526213,112,36,1,407,17.279354095459,260.134216308594,20.4784126281738,28.5131549835205
85.4037572529457,22.2287907836716,113,36,1,426,17.516902923584,235.141174316406,12.8715791702271,23.8746719360352
85.4042377122691,22.2288782939109,114,36,1,435,17.8576107025146,211.501449584961,12.5169849395752,24.8596057891846
85.4344785818285,22.2273565123123,115,37,1,395,15.4840288162231,71.8927459716797,14.1563730239868,21
85.4343709529597,22.2269142319794,116,37,1,396,13.8793354034424,109.381301879883,16.9926910400391,19.4935894012451
85.4308677372716,22.2270452382481,117,38,1,427,15.9366588592529,352.180816650391,7.05162525177002,21.4941844940186
85.4329494434874,22.2269889811646,118,39,1,423,15.7540073394775,21.5444889068604,7.36446571350098,22.2934970855713
85.431995991798,22.2270090530818,119,39,1,428,15.5852813720703,1.77361750602722,13.994068145752,21.6101837158203
85.4324960435622,22.227289465982,120,39,1,415,16.4459285736084,13.5306539535522,16.2148017883301,23.8117618560791
85.4153343226982,22.227910093186,121,40,1,434,15.4854488372803,290.803375244141,8.71635246276855,22.1810722351074
85.4153237384604,22.2287290476318,122,40,1,417,16.121696472168,301.656158447266,17.6876487731934,21.8632106781006
85.4149256667263,22.2283560560648,123,40,1,414,19.1535911560059,309.599975585938,11.8071260452271,25.5147018432617
85.4151623556382,22.2269436232476,124,40,1,436,17.7806396484375,291.762084960938,11.9195156097412,23.4520778656006
85.4151633445887,22.2274067536218,125,40,1,434,15.9078435897827,271.648681640625,10.648509979248,20.4694900512695
85.4152994502744,22.2265068540689,126,40,1,444,14.2306823730469,284.033813476562,14.9194459915161,19.1311264038086
85.4160247049046,22.2267533015466,127,41,1,460,18.0555191040039,287.568298339844,8.01287460327148,25
85.4165855114213,22.2271848314042,128,41,1,463,16.2491321563721,318.206329345703,6.79116821289062,21.0950222015381
85.4160721364073,22.2272034327215,129,41,1,449,15.8877048492432,296.522094726562,15.6347951889038,21.5406589508057
85.4282360416041,22.2269591396435,130,42,1,406,16.1439018249512,272.435302734375,7.64561462402344,21.2837963104248
85.4285657205011,22.2266087631931,131,42,1,409,13.8612451553345,238.997802734375,15.1430072784424,18.4119529724121
85.4531957443144,22.2286408385775,132,43,1,435,17.0516471862793,87.7017517089844,16.9503898620605,22.3159141540527
85.4528427585382,22.2297981648968,133,43,1,448,15.0560741424561,111.456466674805,10.1303939819336,19.6723155975342
85.452947729026,22.2282092168794,134,43,1,437,15.7962198257446,127.494346618652,8.25954151153564,21.3775577545166
85.452842167886,22.227734926946,135,43,1,432,17.2060585021973,120.205986022949,10.2229337692261,22.9564800262451
85.4529310492614,22.2291615591792,136,43,1,444,17.0516471862793,92.2982559204102,14.0570316314697,22.5610275268555
85.4527488593405,22.2270854445418,137,43,1,424,15.2362670898438,104.826522827148,10.8309936523438,20.0499382019043
85.4533188533547,22.227624257234,138,43,1,416,14.2725944519043,125.465019226074,18.1375427246094,21.9544982910156
85.4549438551081,22.2273630234384,139,44,1,422,15.9574565887451,284.956695556641,9.23770332336426,20.856653213501
85.4548953017184,22.226883333774,140,44,1,424,14.3038854598999,267.234954833984,8.3987922668457,19.3132076263428
85.4064045498022,22.2264496200952,141,45,1,439,15.2220001220703,259.583160400391,9.01133441925049,19.2093734741211
85.4483629359933,22.2269652281845,142,46,1,412,16.5633354187012,314.671508789062,8.78226757049561,23.0651245117188
85.4026691132527,22.2263087559651,143,47,1,393,15.4514846801758,344.604949951172,8.68815994262695,20.688159942627
85.4215469831788,22.2280200803124,144,48,1,410,13.4101753234863,355.847137451172,11.0905818939209,17.6635208129883
85.4208356735994,22.2269343942148,145,48,1,434,17.6218757629395,309.232330322266,14.7325134277344,25.0399684906006
85.4213457959981,22.2275856836968,146,48,1,429,15.4965877532959,347.410980224609,9.38052463531494,22.7596130371094
85.4207527525682,22.2264386744401,147,48,1,428,15.7122983932495,274.178833007812,13.8457317352295,22.3159141540527
85.4195862858767,22.2261743612002,148,49,1,422,16.0251998901367,13.9133634567261,12.6915016174316,25.278450012207
85.4201264323239,22.2259771806687,149,49,1,434,17.1319332122803,4.01488924026489,7.74044227600098,23.8537216186523
85.5428811412643,22.2271943513068,150,50,1,445,17.6569957733154,98.1451416015625,13.7443799972534,23.3880310058594
85.5429312945974,22.2266930005881,151,50,1,442,15.8636932373047,99.1316299438477,10.4846820831299,20.5426387786865
